Input,K,GY,Total,K_percent,GY_percent
197,9850,24095,33945,29.02,70.98
198,9900,24210,34110,29.02,70.98
199,9950,24325,34275,29.03,70.97
200,10000,24440,34440,29.04,70.96
201,10050,24555,34605,29.04,70.96
202,10100,24670,34770,29.05,70.95
203,10150,24785,34935,29.05,70.95
204,10200,24900,35100,29.06,70.94
205,10250,25015,35265,29.07,70.93
206,10300,25130,35430,29.07,70.93
207,10350,25245,35595,29.08,70.92
208,10400,25360,35760,29.08,70.92
209,10450,25475,35925,29.09,70.91
210,10500,25590,36090,29.09,70.91
211,10550,25705,36255,29.10,70.90
212,10600,25820,36420,29.10,70.90
213,10650,25935,36585,29.11,70.89
214,10700,26050,36750,29.12,70.88
215,10750,26165,36915,29.12,70.88
216,10800,26280,37080,29.13,70.87
217,10850,26395,37245,29.13,70.87
218,10900,26510,37410,29.14,70.86
219,10950,26625,37575,29.14,70.86
220,11000,26740,37740,29.15,70.85
221,11050,26855,37905,29.15,70.85
222,11100,26970,38070,29.16,70.84
223,11150,27085,38235,29.16,70.84
224,11200,27200,38400,29.17,70.83
225,11250,27315,38565,29.17,70.83
226,11300,27430,38730,29.18,70.82
227,11350,27545,38895,29.18,70.82
228,11400,27660,39060,29.19,70.81
229,11450,27775,39225,29.19,70.81
230,11500,27890,39390,29.20,70.80
231,11550,28005,39555,29.20,70.80
232,11600,28120,39720,29.20,70.80
233,11650,28235,39885,29.21,70.79
234,11700,28350,40050,29.21,70.79
235,11750,28465,40215,29.22,70.78
236,11800,28580,40380,29.22,70.78
237,11850,28695,40545,29.23,70.77
238,11900,28810,40710,29.23,70.77
239,11950,28925,40875,29.24,70.76
240,12000,29040,41040,29.24,70.76
241,12050,29340,41390,29.11,70.89
242,12100,29640,41740,28.99,71.01
243,12150,29940,42090,28.87,71.13
244,12200,30240,42440,28.75,71.25
245,12250,30540,42790,28.63,71.37
246,12300,30840,43140,28.51,71.49
247,12350,31140,43490,28.40,71.60
248,12400,31440,43840,28.28,71.72
249,12450,31740,44190,28.17,71.83
250,12500,32040,44540,28.06,71.94
251,12550,32340,44890,27.96,72.04
252,12600,32640,45240,27.85,72.15
253,12650,32940,45590,27.75,72.25
254,12700,33240,45940,27.64,72.36
255,40000,0,40000,100.00,0.00
