Input,Quad_Value,Baseline,Predicted_Density
79,10108,39.330739,0.384036
80,10241,39.848249,0.387859
81,10384,40.404669,0.391969
82,10527,40.961089,0.396080
83,10670,41.517510,0.400190
84,10813,42.073930,0.404300
85,10956,42.630350,0.408410
86,11098,43.182879,0.412492
87,11241,43.739300,0.416602
88,11384,44.295720,0.420712
89,11544,44.918288,0.425311
90,11704,45.540856,0.429910
91,11864,46.163424,0.434509
92,12024,46.785992,0.439108
93,12184,47.408560,0.443707
94,12344,48.031128,0.448306
95,12504,48.653696,0.452905
96,12664,49.276265,0.457504
97,12849,49.996109,0.462821
98,13034,50.715953,0.468139
99,13218,51.431907,0.473427
100,13403,52.151751,0.478745
101,13588,52.871595,0.484062
102,13773,53.591440,0.489380
103,13958,54.311284,0.494697
104,14143,55.031128,0.500015
105,14360,55.875486,0.506252
106,14577,56.719844,0.512489
107,14795,57.568093,0.518756
108,15012,58.412451,0.524993
109,15230,59.260700,0.531259
110,15447,60.105058,0.537496
111,15665,60.953307,0.543762
112,15882,61.797665,0.549999
113,16084,62.583658,0.555805
114,16285,63.365759,0.561583
115,16487,64.151751,0.567389
116,16688,64.933852,0.573166
117,16890,65.719844,0.578972
118,17091,66.501946,0.584750
119,17293,67.287938,0.590556
120,17494,68.070039,0.596333
121,17683,68.805447,0.601766
122,17871,69.536965,0.607170
123,18060,70.272374,0.612602
124,18248,71.003891,0.618006
125,18437,71.739300,0.623438
126,18625,72.470817,0.628842
127,18814,73.206226,0.634274
128,19002,73.937743,0.639678
129,19181,74.634241,0.644823
130,19359,75.326848,0.649939
131,19537,76.019455,0.655056
132,19716,76.715953,0.660201
133,19894,77.408560,0.665317
134,20072,78.101167,0.670433
135,20251,78.797665,0.675578
136,20429,79.490272,0.680695
137,20600,80.155642,0.685610
138,20771,80.821012,0.690525
139,20942,81.486381,0.695440
140,21112,82.147860,0.700326
141,21283,82.813230,0.705241
142,21454,83.478599,0.710156
143,21625,84.143969,0.715071
144,21796,84.809339,0.719987
145,21962,85.455253,0.724758
146,22128,86.101167,0.729529
147,22294,86.747082,0.734301
148,22459,87.389105,0.739043
149,22625,88.035019,0.743815
150,22791,88.680934,0.748586
151,22957,89.326848,0.753357
152,23123,89.972763,0.758129
153,23284,90.599222,0.762756
154,23444,91.221790,0.767355
155,23605,91.848249,0.771983
156,23766,92.474708,0.776611
157,23927,93.101167,0.781238
158,24088,93.727626,0.785866
159,24249,94.354086,0.790494
160,24410,94.980545,0.795121
161,24565,95.583658,0.799576
162,24721,96.190661,0.804060
163,24876,96.793774,0.808516
164,25032,97.400778,0.813000
165,25188,98.007782,0.817483
166,25343,98.610895,0.821939
167,25499,99.217899,0.826423
168,25654,99.821012,0.830878
169,25804,100.404669,0.835189
170,25954,100.988327,0.839501
171,26104,101.571984,0.843812
172,26254,102.155642,0.848124
173,26404,102.739300,0.852435
174,26553,103.319066,0.856718
175,26703,103.902724,0.861029
176,26853,104.486381,0.865341
177,26997,105.046693,0.869480
178,27141,105.607004,0.873619
179,27284,106.163424,0.877729
180,27428,106.723735,0.881868
181,27572,107.284047,0.886007
182,27716,107.844358,0.890146
183,27860,108.404669,0.894285
184,28003,108.961089,0.898396
185,28184,109.665370,0.903598
186,28365,110.369650,0.908801
187,28546,111.073930,0.914003
188,28726,111.774319,0.919177
189,28907,112.478599,0.924379
190,29088,113.182879,0.929582
191,29269,113.887160,0.934784
192,29450,114.591440,0.939987
193,29668,115.439689,0.946253
194,29885,116.284047,0.952490
195,30102,117.128405,0.958728
196,30320,117.976654,0.964994
197,30538,118.824903,0.971260
198,30755,119.669261,0.977497
199,30972,120.513619,0.983734
200,31190,121.361868,0.990000
201,31408,122.210117,0.996266
202,31625,123.054475,1.002503
203,31842,123.898833,1.008741
204,32060,124.747082,1.015007
205,32278,125.595331,1.021273
206,32495,126.439689,1.027510
207,32712,127.284047,1.033747
208,32930,128.132296,1.040013
209,33060,128.638132,1.043750
210,33191,129.147860,1.047515
211,33321,129.653696,1.051252
212,33452,130.163424,1.055017
213,33582,130.669261,1.058754
214,33712,131.175097,1.062490
215,33843,131.684825,1.066256
216,33973,132.190661,1.069992
217,34147,132.867704,1.074994
218,34321,133.544747,1.079995
219,34495,134.221790,1.084996
220,34669,134.898833,1.089998
221,34843,135.575875,1.094999
222,35017,136.252918,1.100000
223,35191,136.929961,1.105002
224,35365,137.607004,1.110003
225,35495,138.112840,1.113740
226,35626,138.622568,1.117505
227,35756,139.128405,1.121242
228,35886,139.634241,1.124978
229,36016,140.140078,1.128715
230,36146,140.645914,1.132451
231,36277,141.155642,1.136217
232,36407,141.661479,1.139953
233,36498,142.015564,1.142569
234,36589,142.369650,1.145185
235,36679,142.719844,1.147771
236,36770,143.073930,1.150387
237,36861,143.428016,1.153003
238,36952,143.782101,1.155618
239,37043,144.136187,1.158234
240,37134,144.490272,1.160850
241,37224,144.840467,1.163437
242,37315,145.194553,1.166052
243,37406,145.548638,1.168668
244,37497,145.902724,1.171283
245,37588,146.256809,1.173899
246,37679,146.610895,1.176515
247,37769,146.961089,1.179102
248,38496,149.789883,1.199998
249,38695,150.564202,1.205718
250,38894,151.338521,1.211438
251,39093,152.112840,1.217158
252,39291,152.883268,1.222849
253,39490,153.657588,1.228569
254,39689,154.431907,1.234288
255,39888,155.206226,1.240008
