Input,V24_K,V20_K,Diff,Note
168,19431,19431,0,v20と同一
169,19538,19538,0,v20と同一
170,19658,19658,0,v20と同一
171,19790,19790,0,v20と同一
172,19931,19931,0,v20と同一
173,20078,20078,0,v20と同一
174,20229,20229,0,v20と同一
175,20380,20380,0,v20と同一
176,20531,20531,0,v20と同一
177,20678,20678,0,v20と同一
178,20820,20820,0,v20と同一
179,20957,20957,0,v20と同一
180,21087,21087,0,v20と同一
181,21211,21211,0,v20と同一
182,21326,21326,0,v20と同一
183,21433,21433,0,v20と同一
184,21531,21531,0,v20と同一
185,21619,21619,0,v20と同一
186,21700,21700,0,v20と同一
187,21776,21776,0,v20と同一
188,21851,21851,0,v20と同一
189,21928,21928,0,v20と同一
190,22010,22010,0,v20と同一
191,22099,22099,0,v20と同一
192,22198,22198,0,v20と同一
193,22310,22310,0,v20と同一
194,22435,22435,0,v20と同一
195,22570,22570,0,v20と同一
196,22715,22715,0,v20と同一
197,22868,22868,0,v20と同一
198,23028,23028,0,v20と同一
199,23194,23194,0,v20と同一
200,23364,23364,0,v20と同一
201,23537,23537,0,v20と同一
202,23710,23710,0,v20と同一
203,23881,23881,0,v20と同一
204,24048,24048,0,v20と同一
205,24207,24207,0,v20と同一
206,24356,24356,0,v20と同一
207,24493,24493,0,v20と同一
208,24614,24614,0,v20と同一
209,24719,24719,0,v20と同一
210,24810,24810,0,v20と同一
211,24891,24891,0,v20と同一
212,24966,24966,0,v20と同一
213,25039,25039,0,v20と同一
214,25114,25114,0,v20と同一
215,25196,25196,0,v20と同一
216,25287,25287,0,v20と同一
217,25391,25391,0,v20と同一
218,25506,25506,0,v20と同一
219,25629,25629,0,v20と同一
220,25758,25758,0,v20と同一
221,25888,25888,0,v20と同一
222,26018,26018,0,v20と同一
223,26144,26144,0,v20と同一
224,26264,26264,0,v20と同一
225,26375,26375,0,v20と同一
226,26480,26480,0,v20と同一
227,26581,26581,0,v20と同一
228,26681,26681,0,v20と同一
229,26782,26782,0,v20と同一
230,26889,26889,0,v20と同一
231,27003,27003,0,v20と同一
232,27128,27128,0,v20と同一
233,27265,27265,0,v20と同一
234,27412,27412,0,v20と同一
235,27565,27565,0,v20と同一
236,27721,27721,0,v20と同一
237,27876,27876,0,v20と同一
238,28028,28028,0,v20と同一
239,28171,28171,0,v20と同一
240,28304,28304,0,v20と同一
241,28423,28423,0,v20と同一
242,28530,28530,0,v20と同一
243,28626,28626,0,v20と同一
244,28714,28714,0,v20と同一
245,28797,28797,0,v20と同一
246,28875,28875,0,v20と同一
247,28951,28951,0,v20と同一
248,29028,29028,0,v20と同一
249,29570,29107,463,紙白補正 (+1.6%)
250,30111,29191,920,紙白補正 (+3.2%)
251,30653,29281,1372,紙白補正 (+4.7%)
252,31195,29380,1815,紙白補正 (+6.2%)
253,31737,29491,2246,紙白補正 (+7.6%)
254,32278,29614,2664,紙白補正 (+9.0%)
255,32820,29752,3068,紙白補正 (+10.3%)
